run start:  2023-08-03 09:38:09
发票代码 发票号码 销方纳税人识别号
051002000113 16661415 91510115MA64NUAK65
1100212130 22647326 91110101MA020TWCXB
051002000611 69503482 91510112MAACGU1A33
035022000104 02845368 91350206MA34NY4699
4400212130 42091065 91440605MA568D8R21
033002100411 28638379 91330109MA2KD8E6XR
032001900311 07356983 91320115MA1YML8M8J
034012100111 15710045 91340111MA2WJWWJX4
011002100311 93187756 91110105MA0200K9X3
5200211130 04565506 91520102MAAK9DF2X6
042002100311 35013796 91420102MA49C2KK43
037002000211 20586377 91370613MA94GECF1B
037002000211 20586378 91370613MA94GECF1B
037002000211 20586379 91370613MA94GECF1B
3500212130 05367722 91350681MA8RDA59X7
1200213130 00805082 91120118MA0692PW8R
037002000211 20586381 91370613MA94GECF1B
1100212130 14010360 9111010858909300XD
037002100111 20473067 91370100MA3CACU1XN
045002100104 25103787 91450103MA5QDQTM6H
044001907111 67769162 91440605MA568D8R21
011002100311 93187753 91110105MA0200K9X3
1200212130 12566376 91120118MA0692PW8R
044032100111 72329348 91440300MA5ENMY35K
1200213130 09974334 91120118MA0692PW8R
1200212130 12566719 91120118MA0692PW8R
4200213130 03193000 91420102MA49C2KK43
043001900204 43028470 91430105MA4RDCD56H
1200213130 07081064 91120118MA0692PW8R
011002100311 85946331 91110108MA0072NX7F
1200212130 12567137 91120118MA0692PW8R
1200213130 00806202 91120118MA0692PW8R
037002100211 02220668 91370103MA3URP195N
3200211130 35805252 91320192MA22GLRY71
6100211130 17444888 91610102MAB0REEYX8
1200212130 12563971 91120118MA0692PW8R
1200213130 00806025 91120118MA0692PW8R
1200212130 12565610 91120118MA0692PW8R
035002100111 78489599 91350802MA8RCPD88M
1200212130 12581029 91120118MA0692PW8R
3100214130 04183683 91310106MA7CGBH81C
037022000111 55903619 91370212MA3URP0Y3N
035002000111 12273937 91350503MA34B64C6P
1200212130 12581240 91120118MA0692PW8R
037002000104 07361585 91370103MA3URP195N
022002000111 20397333 91220106MA7BUDRR1R
012002100211 80019992 91120118MA0692PW8R
012002100211 80022622 91120118MA0692PW8R
033002100311 04595689 91330100MA2J0CRTXG
4400211130 25407356 91440101MA9XM59C2L
1200213130 00801098 91120118MA0692PW8R
1200212130 12565590 91120118MA0692PW8R
1200214130 13595028 91120118MA0692PW8R
050002100111 55171579 91500103MA60E6NT4R
3200212130 94863629 91320192MA22GLRY71
1200213130 09975955 91120118MA0692PW8R
1200212130 12361979 91120118MA0692PW8R
1200213130 00801922 91120118MA0692PW8R
012002100211 85447406 91120102MA0759QQ3U
037002100211 02220677 91370103MA3URP195N
1200214130 02906790 91120118MA0692PW8R
1200212130 03588331 91120118MA0692PW8R
044002100411 69337917 91440101MA9XQFL85P
044002100113 00187213 91440101MA9Y0CGM9X
1100213130 18225987 9111010858909300XD
037002100211 82293082 91370602MA3U2M4E08
041002000211 88300735 91410305MA9H1TRM5P
011002000511 90925140 9111010858909300XD
1200213130 00802119 91120118MA0692PW8R
037002100211 58164646 91370100MA3CACU1XN
033002100411 67331279 91330105MA2KF3199N
011002000104 46617833 91110108MA0072NX7F
1200213130 00805580 91120118MA0692PW8R
1200214130 05672037 91120118MA0692PW8R
037022000111 53384399 91370212MA3URP0Y3N
1200213130 00809895 91120118MA0692PW8R
1200213130 00807396 91120118MA0692PW8R
012002100211 80020601 91120118MA0692PW8R
037002100211 64462233 91370103MA3URP195N
2100203130 06096268 91210106MA10U39N6D
1200213130 09972322 91120118MA0692PW8R
1200213130 07082348 91120118MA0692PW8R
1200213130 00805828 91120118MA0692PW8R
041002000104 11734875 91410100MA9G9X04X1
011002200111 31518655 91110112MA01UXW56Y
011002000104 65173792 91110108MA0072NX7F
051002000611 96581243 91510106MA680R6D3F
044002100511 16995962 91440101MA9XNR1B94
1200213130 09976718 91120118MA0692PW8R
4400211130 25609594 91440101MA9XM59C2L
011002000104 51296917 91110108330222052X
1200213130 07081435 91120118MA0692PW8R
035002100111 23016680 91350103MA8RDD9BXW
4300211130 04220556 91430124MA4T50W1X8
1200213130 09973366 91120118MA0692PW8R
1200212130 12580937 91120118MA0692PW8R
1200214130 02905403 91120118MA0692PW8R
011002200311 29487594 91110112MA01UXW56Y
1200213130 00804352 91120118MA0692PW8R
1200221130 03290704 91120118MA0692PW8R
1200213130 00809156 91120118MA0692PW8R
1200214130 05673730 91120118MA0692PW8R
1200214130 13590939 91120118MA0692PW8R
1200214130 02906279 91120118MA0692PW8R
