invoice_code	invoice_no
051002000511	07081320
053002000111	44875079
051002000511	07081316
011002100311	03462226
011002100311	03462223
043002100111	16289687
012002100211	80020740
050002100111	25652038
011002100311	85961213
034012100111	36813070
033002100111	40593686
051002000511	07081332
042002100211	69359471
041002100111	03554259
044002100511	37371006
044002100511	37371005
051002000711	80299208
1200213130	00803586
051002000113	16450208
051002000611	97918787
032002000511	96179762
051002000611	97170407
051002000511	07081329
051002000611	97170060
032001900211	13690407
051002000611	30207915
045002000111	42298880
011002100311	85940123
044002100211	18032491
035002100111	27073526
044002100311	93161761
011002100311	85948197
033002100311	02965615
032002000211	90472253
051002000511	07081327
034012100111	15731253
012002100211	09926672
032001900311	07356986
011002100311	33902602
050002100111	88789625
051002000511	07081338
035001900104	28665859
042001900204	87271456
051002000511	07081336
1200212130	08306594
1200212130	08306591
1200212130	08306590
1200212130	08306582
1200212130	08306567
1200212130	08306566
1200212130	08306542
1200212130	08306444
1200212130	08306443
1200212130	08306442
1200212130	08306413
1200212130	08306411
1200212130	08306409
1200212130	08306403
1200212130	08306396
1200212130	08306385
1200212130	08306383
1200212130	08306382
1200212130	08306375
1200212130	08306372
1200212130	08306369
1200212130	08306367
012002000311	15504849
012002000311	15504848
1200212130	08306332
1200212130	08306314
1200212130	08306290
1200212130	08306289
1200212130	08306287
1200212130	08306283
1200212130	08306275
1200212130	08306274
1200212130	08306270
1200212130	08306265
1200212130	08306264
1200212130	08306263
1200212130	08306262
1200212130	08306260
1200212130	08306259
1200212130	08306257
1200212130	08306256
1200212130	08306255
1200212130	08306254
1200212130	08306253
1200212130	08306250
1200212130	08306249
1200212130	08306248
1200212130	08306247
1200212130	08306246
1200212130	08313874
1200212130	08313873
1200212130	08313872
1200212130	08313869
021002000404	08570494
044032000211	83442498
033002100311	02965597
4600211130	02526800
4600211130	02526797
4600211130	02526796
1200212130	08307277
1200212130	08307275
1200212130	08307274
1200212130	08314190
021002000404	08570492
1200212130	08314115
4403212130	04830895
4403212130	04830893
050002100111	25780572
042002100211	50045054
011001800111	81615831
011002000511	90925083
011002000511	90925007
011002000511	90924983
011002000511	90924955
011001700111	25723319
011001700111	25723318
1100212130	09309802
011002100311	03462117
012002100111	59331452
032002100211	49998716
2200211130	00438572
1200212130	08313940
011002100311	03462114
021002000404	08570490
035022100111	32964748
050002100111	09217897
021002000404	08570489
034012100111	13768491
050002100111	38563841
4403212130	04830906
037022000311	56727839
011002100311	03462152
011002100311	03462151
035022000104	02774669
011002100311	03462150
037002100111	74283260
012002100211	09925601
012002100211	09925600
012002100211	09925598
012002100211	09925594
012002100211	09925593
012002100211	09925592
012002100211	09925590
012002100211	09925589
012002100211	09925587
011002100311	33894674
012002100211	09925584
044032000211	83442510
051002000611	96732734
012002100211	37378979
031002000611	22620823
053002000111	44875044
021002000404	08570503
4403212130	04830905
4403212130	04830903
031002000611	22620808
011002100311	03462135
011002100311	03462129
011002100311	03462126
1200212130	08311664
1200212130	08311592
1200212130	08311589
1200212130	08315163
032002000511	95952376
1200212130	08315158
1200212130	08315153
1200212130	08314902
1200212130	08314871
1200212130	08314864
1200212130	08314861
1200212130	08314853
1200212130	08314822
053002000111	44875042
1200212130	08314810
1200212130	08314789
1200212130	08314767
1200212130	08311550
1200212130	08314736
1200212130	08314731
1200212130	08314724
1200212130	08315089
011002100311	47251002
050002000213	00157569
053002000111	44875039
053002000111	44875036
2100203130	06190105
053002000111	44875062
032002000511	95952433
1200212130	12563550
1200212130	12563546
1200212130	12563542
1200212130	12362162
1200212130	12362161
1200212130	12362155
053002000111	44875057
053002000111	44875056
4300211130	04205583
3502212130	03638416
011002100311	03462173
1200212130	12361600
011002100311	03462168
4300211130	04205581
012002100211	09925634
3502212130	03638415
051002000611	68539056
053002000111	44875048
053002000111	44875047
3502212130	03638413
011002100311	03462160
3502212130	03638412
011002100311	03462218
011002100311	03462217
3400211130	12898472
1200212130	12565999
012002100211	09926586
1200212130	12564765
011002100311	03462215
011002100311	03462214
011002100311	03462212
053002000111	44875069
012002100211	09926561
1200212130	12567034
1200212130	12567005
1200212130	12566868
1200212130	12566791
012002100211	80020195
011002100311	03462208
1200212130	12564119
1200212130	12564117
1200212130	12564114
1200212130	12563970
011002100311	03462194
011002100311	03462191
1200202130	01961787
1200202130	01961772
1200202130	01961646
044002011111	18833245
042001800311	85017213
012002000311	76639200
